Employee{name='Jack', age=30, salary=10000, job='IBM'}
Employee{name='John', age=20, salary=7000, job='Apple'}
Employee{name='Jack', age=30, salary=10000, job='IBM'}
Employee{name='John', age=20, salary=7000, job='Apple'}
Employee{name='Jack', age=30, salary=10000, job='IBM'}
Employee{name='John', age=20, salary=7000, job='Apple'}
Employee{name='Jack', age=30, salary=10000, job='IBM'}
Employee{name='John', age=20, salary=7000, job='Apple'}
Employee{name='Jack', age=30, salary=10000, job='IBM'}
Employee{name='Jack', age=30, salary=10000, job='IBM'}
Employee{name='John', age=20, salary=7000, job='Apple'}
Employee{name='John', age=20, salary=7000, job='Apple'}
Employee{name='Jack', age=30, salary=10000, job='IBM'}
Employee{name='Jack', age=30, salary=10000, job='IBM'}
Employee{name='John', age=20, salary=7000, job='Apple'}
Employee{name='John', age=20, salary=7000, job='Apple'}
